Date,  AOR  ,SCHG.K  ,  QQQ.O  ,  ACWI.O  ,  ESGU.O  ,  CRBN.K  ,  ESGG.K  ,  AAPL.O  ,  MSFT.O  ,  JNJ  ,  PG  ,  V  ,  MA  ,  GOOG.O  ,  META.O  ,  TSLA.O  ,  AMZN.O  ,  UL  ,  JPM  ,  ADBE.O  ,  MRK  ,  PG  ,CL =F, 6E=F , 6B=F , TYX , TNX , FVX 
7/9/2018,0.005,0.005,0.005,0.07,0.18,0.185,0.01,0.63,0.005,0.055,0.005,0.07,0.18,0.185,0.63,0.01,0.03,0.06,0.005,0.035,0.035,0.005,0.035,0.005,0.005,0.005,0.01,0.015
7/10/2018,0.005,0.005,0.005,0.045,0.015,0.185,0.045,0.61,0.01,0.05,0.005,0.045,0.015,0.185,0.61,0.02,0.04,0.005,0.005,0.07,0.01,0.01,0.07,0.005,0.01,0.01,0.02,0.01
7/11/2018,0.01,0.005,0.005,0.04,0.035,0.17,0.025,0.645,0.005,0.11,0.005,0.04,0.035,0.17,0.645,0.02,0.005,0.005,0.005,0.13,0.005,0.01,0.13,0.005,0.01,0.01,0.015,0.015
7/12/2018,0.005,0.005,0.005,0.075,0.08,0.16,0.005,0.65,0.01,0.045,0.005,0.075,0.08,0.16,0.65,0.02,0.025,0.015,0.015,0.055,0.01,0.005,0.055,0.005,0.005,0.005,0.01,0.005
7/13/2018,0.005,0.005,0.005,0.005,0.09,0.125,0.015,0.615,0.005,0.05,0.005,0.005,0.09,0.125,0.615,0.015,0.015,0.005,0.005,0.11,0.005,0.005,0.11,0.005,0.005,0.005,0.01,0.005
7/16/2018,0.005,0.005,0.005,0.07,0.035,0.06,0.015,0.585,0.005,0.075,0.005,0.07,0.035,0.06,0.585,0.02,0.015,0.025,0.025,0.08,0.01,0.01,0.08,0.005,0.005,0.01,0.015,0.005
7/17/2018,0.005,0.005,0.005,0.05,0.04,0.115,0.01,0.495,0.005,0.07,0.005,0.05,0.04,0.115,0.495,0.01,0.02,0.03,0.005,0.2,0.005,0.005,0.2,0.005,0.005,0.005,0.01,0.005
7/18/2018,0.01,0.005,0.005,0.04,0.04,0.455,0.015,0.635,0.015,0.04,0.005,0.04,0.04,0.455,0.635,0.015,0.03,0.02,0.01,0.04,0.005,0.01,0.04,0.005,0.005,0.01,0.02,0.005
7/19/2018,0.005,0.01,0.005,0.03,0.06,0.265,0.02,0.325,0.01,0.035,0.005,0.03,0.06,0.265,0.325,0.01,0.03,0.05,0.005,0.03,0.01,0.01,0.03,0.005,0.005,0.01,0.005,0.01
7/20/2018,0.01,0.005,0.005,0.055,0.01,0.25,0.005,0.635,0.005,0.065,0.005,0.055,0.01,0.25,0.635,0.02,0.03,0.01,0.005,0.02,0.01,0.015,0.02,0.005,0.005,0.015,0.02,0.005
7/23/2018,0.005,0.005,0.005,0.055,0.065,0.2,0.005,0.625,0.005,0.065,0.005,0.055,0.065,0.2,0.625,0.03,0.035,0.01,0.01,0.1,0.005,0.005,0.1,0.005,0.005,0.005,0.005,0.015
7/24/2018,0.005,0.005,0.005,0.025,0.055,0.155,0.005,0.665,0.005,0.03,0.005,0.025,0.055,0.155,0.665,0.005,0.02,0.02,0.02,0.01,0.005,0.005,0.01,0.005,0.005,0.005,0.015,0.005
7/25/2018,0.01,0.005,0.005,0.03,0.01,0.335,0.03,0.65,0.005,0.105,0.005,0.03,0.01,0.335,0.65,0.01,0.01,0.005,0.01,0.065,0.005,0.01,0.065,0.005,0.005,0.01,0.01,0.005
7/26/2018,0.01,0.01,0.005,0.05,0.065,0.245,0.025,0.6,0.005,0.175,0.005,0.05,0.065,0.245,0.6,0.01,0.015,0.025,0.01,0.2,0.015,0.015,0.2,0.005,0.01,0.015,0.025,0.02
7/27/2018,0.005,0.005,0.01,0.04,0.07,0.155,0.025,0.58,0.005,0.11,0.01,0.04,0.07,0.155,0.58,0.015,0.02,0.045,0.005,0.125,0.01,0.005,0.125,0.005,0.005,0.005,0.015,0.01
7/30/2018,0.005,0.005,0.005,0.005,0.02,0.22,0.005,0.555,0.005,0.065,0.005,0.005,0.02,0.22,0.555,0.02,0.03,0.005,0.005,0.09,0.005,0.005,0.09,0.005,0.005,0.005,0.025,0.025
7/31/2018,0.01,0.005,0.005,0.04,0.08,0.215,0.01,0.485,0.01,0.07,0.005,0.04,0.08,0.215,0.485,0.01,0.02,0.005,0.01,0.145,0.01,0.005,0.145,0.005,0.005,0.005,0.03,0.005
