Date,Adj Close**,SPRTRN,RF
20-Nov-18,"2,641.89",0.003038654,3.05
21-Nov-18,"2,649.93",-0.006576468,3.06
23-Nov-18,"2,632.56",0.015413016,3.05
26-Nov-18,"2,673.45",0.003256395,3.07
27-Nov-18,"2,682.17",0.022714008,3.06
28-Nov-18,"2,743.79",-0.002185498,3.04
29-Nov-18,"2,737.80",0.008137594,3.04
30-Nov-18,"2,760.17",0.010881931,3.01
3-Dec-18,"2,790.37",-0.032900209,2.99
4-Dec-18,"2,700.06",-0.001523348,2.92
6-Dec-18,"2,695.95",-0.023596383,2.88
7-Dec-18,"2,633.08",0.001760644,2.85
10-Dec-18,"2,637.72",-0.000356432,2.86
11-Dec-18,"2,636.78",0.005404856,2.88
12-Dec-18,"2,651.07",-0.000199939,2.91
13-Dec-18,"2,650.54",-0.019271179,2.91
14-Dec-18,"2,599.95",-0.020992281,2.89
17-Dec-18,"2,545.94",8.64084E-05,2.86
18-Dec-18,"2,546.16",-0.015515478,2.83
19-Dec-18,"2,506.96",-0.015897793,2.78
20-Dec-18,"2,467.42",-0.020803201,2.79
21-Dec-18,"2,416.62",-0.027486566,2.79
24-Dec-18,"2,351.10",0.048403239,2.75
26-Dec-18,"2,467.70",0.008526178,2.8
27-Dec-18,"2,488.83",-0.001242319,2.74
28-Dec-18,"2,485.74",0.008456583,2.74
31-Dec-18,"2,506.85",0.00126772,2.69
2-Jan-19,"2,510.03",-0.025068276,2.66
3-Jan-19,"2,447.89",0.033759378,2.55
4-Jan-19,"2,531.94",0.006985976,2.66
7-Jan-19,"2,549.69",0.009648598,2.68
8-Jan-19,"2,574.41",0.004089652,2.72
9-Jan-19,"2,584.96",0.004508268,2.73
10-Jan-19,"2,596.64",-0.000146354,2.73
11-Jan-19,"2,596.26",-0.005271432,2.7
14-Jan-19,"2,582.61",0.010664642,2.71
15-Jan-19,"2,610.30",0.002219502,2.71
16-Jan-19,"2,616.10",0.007562783,2.73
17-Jan-19,"2,635.96",0.013096913,2.75
18-Jan-19,"2,670.71",-0.014258454,2.78
22-Jan-19,"2,632.90",0.002200471,2.73
23-Jan-19,"2,638.70",0.001374732,2.76
24-Jan-19,"2,642.33",0.008452894,2.71
25-Jan-19,"2,664.76",-0.007877809,2.75
28-Jan-19,"2,643.85",-0.001457271,2.74
29-Jan-19,"2,640.00",0.015429592,2.71
30-Jan-19,"2,681.05",0.008560631,2.7
31-Jan-19,"2,704.10",0.000898232,2.64
1-Feb-19,"2,706.53",0.006753349,2.69
4-Feb-19,"2,724.87",0.004697431,2.72
5-Feb-19,"2,737.70",-0.002226973,2.7
6-Feb-19,"2,731.61",-0.009401172,2.7
7-Feb-19,"2,706.05",0.000676034,2.65
8-Feb-19,"2,707.88",0.000708791,2.63
11-Feb-19,"2,709.80",0.012807878,2.66
12-Feb-19,"2,744.73",0.003019414,2.68
13-Feb-19,"2,753.03",-0.002655146,2.71
14-Feb-19,"2,745.73",0.010819962,2.66
15-Feb-19,"2,775.60",0.001497653,2.67
19-Feb-19,"2,779.76",0.001775555,2.65
20-Feb-19,"2,784.70",-0.003532645,2.65
21-Feb-19,"2,774.88",0.006390624,2.69
22-Feb-19,"2,792.67",0.001231038,2.66
25-Feb-19,"2,796.11",-0.000790696,2.67
26-Feb-19,"2,793.90",-0.00054419,2.64
27-Feb-19,"2,792.38",-0.002829546,2.69
28-Feb-19,"2,784.49",0.006871674,2.71
1-Mar-19,"2,803.69",-0.003888149,2.76
4-Mar-19,"2,792.81",-0.001132118,2.72
5-Mar-19,"2,789.65",-0.006545491,2.72
6-Mar-19,"2,771.45",-0.008158904,2.69
7-Mar-19,"2,748.93",-0.002134014,2.64
8-Mar-19,"2,743.07",0.014559543,2.63
11-Mar-19,"2,783.30",0.002948976,2.64
12-Mar-19,"2,791.52",0.006925582,2.61
13-Mar-19,"2,810.92",-0.00086842,2.61
14-Mar-19,"2,808.48",0.004972519,2.63
15-Mar-19,"2,822.48",0.003699111,2.59
18-Mar-19,"2,832.94",-0.000130615,2.6
19-Mar-19,"2,832.57",-0.002948666,2.61
20-Mar-19,"2,824.23",0.01079405,2.54
21-Mar-19,"2,854.88",-0.019156854,2.54
22-Mar-19,"2,800.71",-0.000839425,2.46
25-Mar-19,"2,798.36",0.007157105,2.42
26-Mar-19,"2,818.46",-0.004655199,2.41
27-Mar-19,"2,805.37",0.003583117,2.37
28-Mar-19,"2,815.44",0.00671172,2.39
29-Mar-19,"2,834.40",0.011502182,2.41
1-Apr-19,"2,867.19",1.74385E-05,2.5
2-Apr-19,"2,867.24",0.002146103,2.48
3-Apr-19,"2,873.40",0.002082469,2.52
4-Apr-19,"2,879.39",0.004625684,2.51
5-Apr-19,"2,892.74",0.001046902,2.5
8-Apr-19,"2,895.77",-0.006085953,2.52
9-Apr-19,"2,878.20",0.003471834,2.5
10-Apr-19,"2,888.21",3.80851E-05,2.48
11-Apr-19,"2,888.32",0.006587632,2.5
12-Apr-19,"2,907.41",-0.000629624,2.56
15-Apr-19,"2,905.58",0.000509235,2.55
16-Apr-19,"2,907.06",-0.002276364,2.59
17-Apr-19,"2,900.45",0.00157782,2.59
18-Apr-19,"2,905.03",0.001011526,2.56
22-Apr-19,"2,907.97",0.008802364,2.59
23-Apr-19,"2,933.68",-0.002194192,2.57
24-Apr-19,"2,927.25",-0.000369015,2.52
25-Apr-19,"2,926.17",0.004674363,2.53
